date,no2,month,dayofmonth,dayofweek
1/1/2013,27.2744825,1,1,1
1/1/2013,30.50497929,1,1,1
1/1/2013,20.47747786,1,1,1
1/1/2013,27.16921429,1,1,1
1/1/2013,25.60994643,1,1,1
1/1/2013,27.02263357,1,1,1
1/1/2013,29.93048786,1,1,1
1/1/2013,36.80282929,1,1,1
1/1/2013,40.11335571,1,1,1
1/1/2013,35.91845714,1,1,1
1/1/2013,34.426845,1,1,1
1/1/2013,31.42230786,1,1,1
1/1/2013,30.20964429,1,1,1
1/1/2013,27.68958571,1,1,1
1/1/2013,28.37217786,1,1,1
1/1/2013,38.10215857,1,1,1
1/1/2013,54.79005071,1,1,1
1/1/2013,61.00612,1,1,1
1/1/2013,57.984165,1,1,1
1/1/2013,52.83298214,1,1,1
1/1/2013,52.29178,1,1,1
1/1/2013,54.29734429,1,1,1
1/1/2013,52.63090714,1,1,1
1/1/2013,50.20165714,1,1,1
2/1/2013,45.91750846,1,2,2
2/1/2013,36.72272286,1,2,2
2/1/2013,33.26121,1,2,2
2/1/2013,32.134985,1,2,2
2/1/2013,35.72252857,1,2,2
2/1/2013,42.01892286,1,2,2
2/1/2013,56.74995429,1,2,2
2/1/2013,64.72928071,1,2,2
2/1/2013,67.59341929,1,2,2
2/1/2013,70.03995071,1,2,2
2/1/2013,67.78360071,1,2,2
2/1/2013,67.82893071,1,2,2
2/1/2013,67.01516143,1,2,2
2/1/2013,65.16104462,1,2,2
2/1/2013,62.86889077,1,2,2
2/1/2013,61.48085615,1,2,2
2/1/2013,61.61324692,1,2,2
2/1/2013,63.69823857,1,2,2
2/1/2013,54.74548286,1,2,2
2/1/2013,49.50537,1,2,2
2/1/2013,43.73464143,1,2,2
2/1/2013,39.49507214,1,2,2
2/1/2013,42.94727143,1,2,2
2/1/2013,37.63342429,1,2,2
3/1/2013,31.24598462,1,3,3
3/1/2013,27.62699786,1,3,3
3/1/2013,21.79662571,1,3,3
3/1/2013,20.06953571,1,3,3
3/1/2013,23.60783214,1,3,3
3/1/2013,28.02123214,1,3,3
3/1/2013,38.75633429,1,3,3
3/1/2013,48.34444929,1,3,3
3/1/2013,54.67168214,1,3,3
3/1/2013,52.66365929,1,3,3
3/1/2013,53.67784308,1,3,3
3/1/2013,48.27672571,1,3,3
3/1/2013,47.60451643,1,3,3
3/1/2013,44.45104214,1,3,3
3/1/2013,47.073,1,3,3
3/1/2013,55.36245923,1,3,3
3/1/2013,61.96896214,1,3,3
3/1/2013,63.31819786,1,3,3
3/1/2013,54.67813643,1,3,3
3/1/2013,48.36586286,1,3,3
3/1/2013,42.82678357,1,3,3
3/1/2013,38.70292357,1,3,3
3/1/2013,35.47718357,1,3,3
3/1/2013,28.09425,1,3,3
4/1/2013,23.34682077,1,4,4
4/1/2013,16.46975643,1,4,4
4/1/2013,15.76706,1,4,4
4/1/2013,15.52710929,1,4,4
4/1/2013,15.96094071,1,4,4
4/1/2013,20.72917857,1,4,4
4/1/2013,32.919145,1,4,4
4/1/2013,39.27684214,1,4,4
4/1/2013,47.78996,1,4,4
4/1/2013,51.67745786,1,4,4
4/1/2013,48.66725143,1,4,4
4/1/2013,45.92708286,1,4,4
4/1/2013,39.97254857,1,4,4
4/1/2013,41.00495615,1,4,4
4/1/2013,45.56056571,1,4,4
4/1/2013,48.78217286,1,4,4
4/1/2013,54.80238143,1,4,4
4/1/2013,59.369055,1,4,4
4/1/2013,57.96586,1,4,4
4/1/2013,52.88585143,1,4,4
4/1/2013,45.938215,1,4,4
4/1/2013,43.09736929,1,4,4
4/1/2013,40.07189571,1,4,4
4/1/2013,39.02743071,1,4,4
5/1/2013,35.87286308,1,5,5
5/1/2013,25.35839714,1,5,5
5/1/2013,20.43185286,1,5,5
5/1/2013,17.56610714,1,5,5
5/1/2013,22.50746214,1,5,5
5/1/2013,30.97976857,1,5,5
5/1/2013,42.81520643,1,5,5
5/1/2013,53.66150571,1,5,5
5/1/2013,59.83013857,1,5,5
5/1/2013,58.49674929,1,5,5
5/1/2013,57.87334357,1,5,5
5/1/2013,52.52981786,1,5,5
5/1/2013,42.14299714,1,5,5
5/1/2013,39.14935429,1,5,5
5/1/2013,37.71415929,1,5,5
5/1/2013,41.16355929,1,5,5
5/1/2013,44.25617286,1,5,5
5/1/2013,41.02087286,1,5,5
5/1/2013,41.95536643,1,5,5
5/1/2013,47.13550929,1,5,5
5/1/2013,54.35127,1,5,5
5/1/2013,60.76951857,1,5,5
5/1/2013,61.04471214,1,5,5
5/1/2013,55.86088143,1,5,5
6/1/2013,47.87316231,1,6,6
6/1/2013,41.22399571,1,6,6
6/1/2013,36.89397,1,6,6
6/1/2013,33.93160929,1,6,6
6/1/2013,29.78899857,1,6,6
6/1/2013,31.02402929,1,6,6
6/1/2013,36.85589,1,6,6
6/1/2013,43.97964571,1,6,6
6/1/2013,50.02905357,1,6,6
6/1/2013,51.15561786,1,6,6
6/1/2013,52.97543143,1,6,6
6/1/2013,50.23755143,1,6,6
6/1/2013,51.38703214,1,6,6
6/1/2013,52.94486571,1,6,6
6/1/2013,52.96341,1,6,6
6/1/2013,56.758595,1,6,6
6/1/2013,58.95544286,1,6,6
6/1/2013,67.377,1,6,6
6/1/2013,67.55790214,1,6,6
6/1/2013,59.39306214,1,6,6
6/1/2013,49.80778429,1,6,6
6/1/2013,41.94095429,1,6,6
6/1/2013,32.40137071,1,6,6
6/1/2013,26.40926786,1,6,6
7/1/2013,23.16390692,1,7,0
7/1/2013,19.00439857,1,7,0
7/1/2013,17.01329286,1,7,0
7/1/2013,16.88269714,1,7,0
7/1/2013,22.39137929,1,7,0
7/1/2013,29.45796357,1,7,0
7/1/2013,44.04238286,1,7,0
7/1/2013,55.93038071,1,7,0
7/1/2013,58.194065,1,7,0
7/1/2013,57.05434929,1,7,0
7/1/2013,52.54986571,1,7,0
7/1/2013,54.368415,1,7,0
7/1/2013,49.83995429,1,7,0
7/1/2013,46.22891571,1,7,0
7/1/2013,46.710285,1,7,0
7/1/2013,48.48546143,1,7,0
7/1/2013,49.19301786,1,7,0
7/1/2013,48.44570857,1,7,0
7/1/2013,49.56131071,1,7,0
7/1/2013,47.86147286,1,7,0
7/1/2013,44.65584929,1,7,0
7/1/2013,42.45510929,1,7,0
7/1/2013,41.84276786,1,7,0
7/1/2013,37.74646786,1,7,0
8/1/2013,30.20656538,1,8,1
8/1/2013,24.14385643,1,8,1
8/1/2013,20.20938786,1,8,1
8/1/2013,18.641855,1,8,1
8/1/2013,22.046105,1,8,1
8/1/2013,30.25475929,1,8,1
8/1/2013,53.04691071,1,8,1
8/1/2013,65.45223857,1,8,1
8/1/2013,72.53395429,1,8,1
8/1/2013,68.77097357,1,8,1
8/1/2013,56.09820214,1,8,1
8/1/2013,50.05688714,1,8,1
8/1/2013,46.46323143,1,8,1
8/1/2013,49.47266,1,8,1
8/1/2013,51.03693923,1,8,1
8/1/2013,54.75593286,1,8,1
